timestamp,AccX,AccY,AccZ
1622693209216,-0.47884035110473633,1.501164436340332,9.927556991577148
1622693209261,-0.2513911724090576,1.456871747970581,9.569623947143555
1622693209310,-0.2513911724090576,1.4472949504852295,9.526528358459473
1622693209367,-0.34835633635520935,1.5729905366897583,
1622693209368,,,9.537302017211914
1622693209434,-0.12449848651885986,1.413776159286499,9.580398559570312
1622693209501,-0.16639702022075653,1.5466543436050415,9.36013126373291
1622693209567,-0.3447650372982025,1.601720929145813,9.609128952026367
1622693209634,-0.3064578175544739,1.5741876363754272,9.556455612182617
1622693209700,-0.17836803197860718,,
1622693209701,,1.6077064275741577,9.299078941345215
1622693209768,0.0035913025494664907,1.400607943534851,9.660603523254395
1622693209834,-0.05027823522686958,1.4053963422775269,9.806650161743164
1622693209904,-1.4173674583435059,1.6831238269805908,9.84256362915039
1622693209973,-0.4405331015586853,1.4987702369689941,9.533711433410645
1622693210047,0.8152256608009338,1.9105730056762695,
1622693210048,,,9.35773754119873
1622693210103,0.46088382601737976,1.6903064250946045,
1622693210104,,,9.433155059814453
1622693210178,-0.13766659796237946,1.455674648284912,9.771934509277344
1622693210236,-0.5506663918495178,1.8112136125564575,9.32421875
1622693210305,-0.1256955862045288,1.6855180263519287,9.557653427124023
1622693210374,-0.22864626348018646,1.4472949504852295,9.709685325622559
1622693210443,-0.569819986820221,1.3443442583084106,9.342175483703613
1622693210514,0.13527239859104156,1.7741034030914307,9.605537414550781
1622693210575,0.22625206410884857,2.0458452701568604,9.193734169006348
1622693210641,-0.19033902883529663,1.282094955444336,9.39245319366455
1622693210705,-0.19033902883529663,1.7753005027770996,9.660603523254395
1622693210787,-0.424970805644989,1.4233529567718506,9.72165584564209
1622693210837,-0.17717093229293823,1.6316484212875366,9.277531623840332
1622693210904,-0.2693476974964142,1.6208745241165161,9.531316757202148
1622693210971,-0.16879121959209442,1.6112977266311646,9.476250648498535
1622693211037,-0.15562310814857483,1.5430630445480347,9.604340553283691
1622693211107,-0.20709845423698425,1.6184803247451782,9.461885452270508
1622693211176,-0.16519992053508759,1.6136919260025024,9.436745643615723
1622693211247,-0.21667525172233582,1.6675615310668945,9.38048267364502
1622693211301,-0.2190694510936737,1.6364368200302124,9.557653427124023
1622693211370,-0.36152446269989014,1.6639702320098877,9.651026725769043
1622693211446,-0.16879121959209442,1.6292542219161987,9.327810287475586
1622693211507,-0.27054479718208313,1.5969325304031372,9.728838920593262
1622693211584,-0.19871874153614044,1.7070658206939697,9.284713745117188
1622693211639,-0.2059013396501541,,
1622693211640,,1.6208745241165161,9.469067573547363
1622693211715,-0.29568392038345337,1.6268600225448608,9.618705749511719
1622693211771,-0.1364694982767105,1.6531962156295776,
1622693211772,,,9.297882080078125
1622693211853,-0.2214636504650116,1.5909470319747925,9.678560256958008
1622693211913,-0.21188685297966003,1.6639702320098877,9.44871711730957
1622693211970,-0.24899697303771973,1.6208745241165161,9.647436141967773
1622693212040,-0.2513911724090576,1.5837644338607788,
1622693212041,,,9.62828254699707
1622693212108,-0.23343466222286224,,
1622693212109,,1.723825216293335,9.313444137573242
1622693212181,-0.1711854189634323,1.6615760326385498,9.524134635925293
1622693212247,-0.24779987335205078,1.6519991159439087,9.452308654785156
1622693212316,-0.32202014327049255,1.742978811264038,9.355342864990234
1622693212369,-0.2932897210121155,1.6723499298095703,9.457097053527832
1622693212435,-0.2885012924671173,1.5885528326034546,9.708487510681152
1622693212501,-0.2214636504650116,,
1622693212502,,1.7705121040344238,9.340977668762207
1622693212571,-0.2106897532939911,1.644816517829895,9.551667213439941
1622693212638,-0.13168109953403473,,
1622693212639,,1.5765818357467651,9.612719535827637
1622693212710,-0.15801730751991272,1.6603789329528809,9.513360023498535
1622693212782,-0.14844051003456116,1.6328455209732056,9.534908294677734
1622693212835,-0.20231004059314728,1.622071623802185,9.44991397857666
1622693212907,-0.27413609623908997,1.701080322265625,9.398438453674316
1622693212968,-0.395043283700943,1.7405846118927002,9.643844604492188
1622693213048,-0.3315969407558441,1.6711528301239014,9.651026725769043
1622693213105,-0.23104046285152435,1.768117904663086,9.26915168762207
1622693213178,-0.2082955539226532,1.6627731323242188,9.39245319366455
1622693213234,-0.2885012924671173,1.6819267272949219,9.59476375579834
1622693213313,-0.3519476354122162,1.722628116607666,9.625887870788574
1622693213374,-0.30047231912612915,1.8327614068984985,9.254786491394043
1622693213449,-0.33997663855552673,1.6077064275741577,9.84495735168457
1622693213517,-0.1256955862045288,1.698686122894287,9.289502143859863
1622693213568,-0.3411737382411957,1.6723499298095703,9.569623947143555
1622693213635,-0.23343466222286224,1.680729627609253,9.361329078674316
1622693213703,-0.2849099934101105,,
1622693213704,,1.723825216293335,9.709685325622559
1622693213776,-0.1999158412218094,,
1622693213777,,1.7525556087493896,9.317035675048828
1622693213834,-0.2585737705230713,1.6879122257232666,9.616311073303223
1622693213907,-0.1843535304069519,,
1622693213908,,1.6950948238372803,9.390059471130371
1622693213976,-0.20470423996448517,1.7597382068634033,9.309853553771973
1622693214049,-0.2885012924671173,1.801636815071106,
1622693214050,,,9.476250648498535
1622693214103,-0.22266076505184174,1.6603789329528809,9.691728591918945
1622693214167,-0.28730419278144836,,
1622693214169,,1.799242615699768,9.425971984863281
1622693214235,-0.2885012924671173,1.7884687185287476,9.497797966003418
1622693214301,-0.23822307586669922,1.8052281141281128,9.452308654785156
1622693214368,-0.3232172429561615,1.8267759084701538,9.528923034667969
1622693214434,-0.22505496442317963,1.801636815071106,9.399636268615723
1622693214502,-0.15562310814857483,1.777694821357727,9.411606788635254
1622693214570,-0.1735796183347702,,
1622693214571,,1.768117904663086,9.501389503479004
1622693214642,0.0071826050989329815,1.7190368175506592,9.452308654785156
1622693214716,-0.2621650993824005,1.8160020112991333,9.690531730651855
1622693214768,-0.15921440720558167,,
1622693214769,,1.8183962106704712,9.339780807495117
1622693214839,-0.27413609623908997,,
1622693214840,,1.8279730081558228,9.423578262329102
1622693214906,-0.2669534981250763,,
1622693214907,,1.7884687185287476,9.781511306762695
1622693214986,-0.32202014327049255,1.7812861204147339,
1622693214987,,,9.657012939453125
1622693215045,-0.2992752194404602,1.8722656965255737,9.224859237670898
1622693215104,-0.2885012924671173,1.7573440074920654,9.519346237182617
1622693215182,-0.1999158412218094,1.8722656965255737,9.14345645904541
1622693215234,-0.23822307586669922,1.7836803197860718,9.502586364746094
1622693215302,-0.26815059781074524,1.8148049116134644,9.66419506072998
1622693215370,-0.26815059781074524,1.8171991109848022,9.522936820983887
1622693215441,-0.19632454216480255,1.820790410041809,9.29189682006836
1622693215513,-0.31842881441116333,1.7298107147216797,
1622693215514,,,9.575610160827637
1622693215568,-0.3471592366695404,1.7106571197509766,9.746794700622559
1622693215644,-0.30526071786880493,1.8387469053268433,9.330204010009766
1622693215717,-0.23822307586669922,1.7286136150360107,9.488221168518066
1622693215769,-0.2585737705230713,1.7764976024627686,9.3828763961792
1622693215842,-0.3076549172401428,1.7848774194717407,9.428366661071777
1622693215915,-0.2944868206977844,1.7298107147216797,9.564835548400879
1622693215984,-0.3411737382411957,,
1622693215985,,1.7872716188430786,9.651026725769043
1622693216037,-0.2190694510936737,1.8543092012405396,9.227252960205078
1622693216112,-0.2801215946674347,1.7848774194717407,9.501389503479004
1622693216184,-0.21428105235099792,1.7896658182144165,9.334992408752441
1622693216235,-0.19393034279346466,,
1622693216236,,1.7130513191223145,9.575610160827637
1622693216307,-0.2621650993824005,1.7693150043487549,9.261969566345215
1622693216380,-0.2190694510936737,1.8100165128707886,
1622693216381,,,9.87967300415039
1622693216450,-0.39384618401527405,2.0219032764434814,8.954314231872559
1622693216503,-0.2106897532939911,1.4760253429412842,9.692925453186035
1622693216577,-0.3495534360408783,2.145204782485962,8.513781547546387
1622693216634,-0.07302315533161163,1.8698714971542358,9.606734275817871
1622693216710,-0.17836803197860718,1.9369091987609863,8.984241485595703
1622693216784,-0.03711012750864029,2.100912094116211,9.29069995880127
1622693216837,-0.33279404044151306,2.0242974758148193,9.497797966003418
1622693216908,-0.3423708379268646,2.254140853881836,8.857349395751953
1622693216971,-0.5051765441894531,2.369062662124634,9.514557838439941
1622693217034,0.767341673374176,1.8291701078414917,9.797073364257812
1622693217102,-1.2485761642456055,2.4193408489227295,9.855731010437012
1622693217168,0.0933738648891449,1.5705963373184204,9.964667320251465
1622693217247,-0.6236895322799683,2.233790159225464,9.050082206726074
1622693217313,-0.524330198764801,2.1787235736846924,9.248801231384277
1622693217376,-0.26096799969673157,2.1164743900299072,9.641449928283691
1622693217444,-0.4010287821292877,2.3032219409942627,9.330204010009766
1622693217508,-0.24779987335205078,2.123656988143921,9.534908294677734
1622693217567,-0.6236895322799683,,
1622693217568,,2.2254104614257812,9.768342971801758
1622693217641,-0.545877993106842,2.382230758666992,9.260771751403809
1622693217718,-0.6428431272506714,2.4648306369781494,9.39245319366455
1622693217786,-0.6835445761680603,2.5474305152893066,
1622693217787,,,8.702922821044922
1622693217834,-0.6248866319656372,2.1751322746276855,10.326191902160645
1622693217900,-0.7829039692878723,,
1622693217901,,2.8095955848693848,8.53413200378418
1622693217967,-1.3946224451065063,3.134010076522827,8.878896713256836
1622693218034,-1.6208745241165161,4.741716384887695,8.316259384155273
1622693218100,-2.0183119773864746,,
1622693218101,,5.38096809387207,7.50582218170166
1622693218167,-1.5059528350830078,6.31829833984375,7.1239471435546875
1622693218234,-1.3503297567367554,7.3920979499816895,6.788758754730225
1622693218301,-1.070208191871643,7.965508937835693,4.955997467041016
1622693218367,-0.5973533391952515,8.259995460510254,3.290830135345459
1622693218443,-0.9253589510917664,8.4108304977417,3.5936968326568604
1622693218501,-0.8200140595436096,8.543708801269531,2.9508535861968994
1622693218567,-1.2892776727676392,,
1622693218568,,9.227252960205078,2.9652187824249268
1622693218634,-1.6148890256881714,,
1622693218635,,9.93354320526123,2.3810336589813232
1622693218701,-1.217451572418213,9.19972038269043,2.96162748336792
1622693218767,-1.2677297592163086,,
1622693218768,,9.490615844726562,2.4875755310058594
1622693218834,-1.479616641998291,,
1622693218835,,10.199298858642578,2.7090392112731934
1622693218901,-0.9672574996948242,10.57040023803711,1.9249382019042969
1622693218967,-0.6763619780540466,10.1382474899292,
1622693218968,,,1.9057846069335938
1622693219035,-1.1779472827911377,9.373299598693848,3.689464807510376
1622693219101,-1.2952631711959839,10.32978343963623,3.0310592651367188
1622693219168,-0.43933600187301636,10.267534255981445,1.4520833492279053
1622693219234,-1.9572598934173584,8.47906494140625,
1622693219235,,,3.861847400665283
1622693219300,-1.801636815071106,,
1622693219301,,8.8070707321167,2.561795711517334
1622693219368,-1.623268723487854,8.863334655761719,1.6400281190872192
1622693219434,-2.1045033931732178,8.7268648147583,3.228580951690674
1622693219501,-1.7046716213226318,10.105925559997559,1.4425065517425537
1622693219567,-1.035492181777954,,
1622693219568,,8.888473510742188,3.1878795623779297
1622693219634,-0.11372458189725876,9.684545516967773,2.718616008758545
1622693219701,-0.0802057534456253,10.089165687561035,1.8291701078414917
1622693219768,0.48961424827575684,8.880094528198242,2.3798365592956543
1622693219835,-0.19393034279346466,10.417171478271484,1.3215993642807007
1622693219902,-0.8056488633155823,7.715314865112305,2.3977930545806885
1622693219970,-0.11013327538967133,7.773972988128662,1.036689281463623
1622693220039,-2.169146776199341,10.757147789001465,1.9249382019042969
1622693220104,-1.7597382068634033,,
1622693220105,,8.270770072937012,1.8794482946395874
1622693220173,-2.7533318996429443,10.20648193359375,1.5921441316604614
1622693220237,-0.0347159244120121,9.485827445983887,
1622693220238,,,1.2880805730819702
1622693220306,-0.5961562395095825,10.324995040893555,1.6184803247451782
1622693220372,0.15682020783424377,,
1622693220373,,7.023390769958496,1.8100165128707886
1622693220436,-1.6915035247802734,14.83088207244873,0.9445125460624695
1622693220501,-0.02992752194404602,8.835801124572754,
1622693220502,,,1.7477672100067139
1622693220571,-1.482010841369629,14.074315071105957,1.3527239561080933
1622693220635,0.44532153010368347,10.359710693359375,0.628477931022644
1622693220704,-0.5626373887062073,,
1622693220705,,8.785523414611816,1.4413094520568848
1622693220770,0.6404489278793335,,
1622693220771,,10.247182846069336,0.07302315533161163
1622693220839,-0.3076549172401428,,
1622693220840,,8.451532363891602,0.6835445761680603
1622693220905,0.38067805767059326,9.616311073303223,0.304063618183136
1622693220969,0.28730419278144836,8.109161376953125,0.5279214978218079
1622693221038,5.275623321533203,4.982333660125732,0.6141127347946167
1622693221103,-0.3076549172401428,8.135497093200684,
1622693221104,,,0.019153613597154617
1622693221170,2.9939491748809814,5.055356979370117,-4.214992046356201
1622693221235,-2.962824583053589,,
1622693221236,,9.998186111450195,0.7589619159698486
1622693221306,-2.470816135406494,9.50737476348877,0.23582886159420013
1622693221369,-2.6168625354766846,9.490615844726562,-0.3687070608139038
1622693221438,-2.651578426361084,9.485827445983887,-0.23104046285152435
1622693221502,-2.3044190406799316,9.133879661560059,
1622693221503,,,-0.23582886159420013
1622693221568,-2.474407434463501,,
1622693221569,,9.07641887664795,-0.5374982953071594
1622693221635,-2.874239206314087,,
1622693221636,,9.531316757202148,-0.5207388401031494
1622693221706,-2.980781078338623,9.57441234588623,-0.4129997789859772
1622693221769,-3.159149169921875,9.147047996520996,
1622693221770,,,-0.30526071786880493
1622693221837,-3.09689998626709,,
1622693221838,,9.84495735168457,-0.6260837316513062
1622693221903,-3.023876667022705,9.690531730651855,
1622693221904,,,-1.0570400953292847
1622693221968,-2.5019407272338867,,
1622693221969,,9.725247383117676,-0.7984662652015686
1622693222039,-2.43011474609375,9.285911560058594,-0.8930372595787048
1622693222104,-2.674323320388794,9.578003883361816,
1622693222105,,,-2.4157495498657227
1622693222172,-2.166752576828003,,
1622693222173,,9.17936897277832,-1.5873557329177856
1622693222239,-1.9919757843017578,9.490615844726562,-2.6575639247894287
1622693222305,-2.4660277366638184,8.514978408813477,-3.47039532661438
1622693222369,-1.9728221893310547,,
1622693222370,,9.265560150146484,-2.6372132301330566
1622693222437,-1.8806453943252563,8.653841972351074,-3.624821424484253
1622693222501,-1.8351556062698364,8.787917137145996,-4.235342979431152
1622693222571,-1.6352397203445435,8.267178535461426,-3.6990416049957275
1622693222636,-1.533486247062683,8.076839447021484,-3.8343141078948975
1622693222702,-1.9596540927886963,,
1622693222703,,9.300276756286621,-4.5406036376953125
1622693222767,-1.6412252187728882,,
1622693222768,,8.826224327087402,-4.707000732421875
1622693222836,-1.3467384576797485,7.026981830596924,-3.8175547122955322
1622693222901,-6.435614109039307,16.68638801574707,-0.8918401598930359
1622693222967,-0.24660277366638184,,
1622693222968,,7.530961513519287,-0.31364041566848755
1622693223034,-0.3208230137825012,10.031704902648926,0.8044517636299133
1622693223101,-1.0055646896362305,9.080010414123535,0.08499415963888168
1622693223167,-0.6189011335372925,10.119093894958496,
1622693223168,,,0.7996633648872375
1622693223234,-0.05386953800916672,9.714473724365234,
1622693223235,,,-0.23702596127986908
1622693223303,-0.30885201692581177,9.623494148254395,0.3998316824436188
1622693223372,-0.5674257874488831,,
1622693223373,,9.385271072387695,0.061052143573760986
1622693223439,0.12090718746185303,,
1622693223440,,10.132261276245117,0.8655039072036743
1622693223506,-0.7110779285430908,,
1622693223507,,10.146626472473145,1.6112977266311646
1622693223569,-0.12330138683319092,10.78228759765625,-0.4321534037590027
1622693223637,-0.014365210197865963,12.090718269348145,1.116895079612732
1622693223706,-2.942473888397217,,
1622693223707,,10.222043991088867,0.4381389021873474
1622693223769,-2.9233202934265137,10.101137161254883,
1622693223770,,,0.35434186458587646
1622693223839,-2.3738510608673096,,
1622693223840,,9.683348655700684,-1.5382746458053589
1622693223903,-2.7760767936706543,8.251616477966309,-1.8064252138137817
1622693223973,-1.625662922859192,7.284358501434326,-1.016338586807251
1622693224039,-2.0171148777008057,,
1622693224040,,7.690176010131836,-3.7385458946228027
1622693224102,-1.0414776802062988,8.565256118774414,-3.977966070175171
1622693224171,-0.2669534981250763,,
1622693224172,,9.209297180175781,-4.280832767486572
1622693224236,-2.313995838165283,9.072827339172363,
1622693224237,,,-4.564545631408691
1622693224301,-2.3068132400512695,9.747992515563965,-4.886565685272217
1622693224368,-4.520252704620361,12.920309066772461,-1.260547161102295
1622693224435,-1.4927847385406494,3.5278561115264893,1.0043675899505615
1622693224504,1.4437036514282227,14.466963768005371,1.0043675899505615
1622693224571,-1.8471266031265259,8.367734909057617,0.34356793761253357
1622693224636,-0.2825157940387726,,
1622693224637,,10.036493301391602,0.6141127347946167
1622693224703,-0.2825157940387726,9.435548782348633,
1622693224704,,,0.8236053586006165
1622693224769,-0.6919242739677429,9.476250648498535,
1622693224770,,,0.4429273009300232
1622693224838,-0.44173020124435425,,
1622693224839,,9.624691009521484,0.9085995554924011
1622693224906,-1.1073182821273804,10.591948509216309,
1622693224907,,,1.88782799243927
1622693224973,-0.24899697303771973,,
1622693224974,,11.049241065979004,-0.3064578175544739
1622693225036,0.8690952062606812,,
1622693225037,,10.887632369995117,0.5027823448181152
1622693225106,-2.718616008758545,,
1622693225107,,10.584765434265137,0.6596025824546814
1622693225172,-3.444059133529663,10.54645824432373,0.31364041566848755
1622693225236,-2.074575662612915,9.331400871276855,-1.3539210557937622
1622693225303,-2.557007312774658,8.482656478881836,-1.8303672075271606
1622693225368,-1.0534487962722778,,
1622693225369,,6.621164798736572,-1.157596468925476
1622693225440,-1.525106430053711,6.309918403625488,
1622693225441,,,-3.4847605228424072
1622693225504,-0.9600749015808105,,
1622693225505,,9.339780807495117,-3.8343141078948975
1622693225573,-1.9405004978179932,,
1622693225574,,13.347674369812012,-4.720168590545654
1622693225642,-0.26336219906806946,6.613982200622559,-5.018246650695801
1622693226089,-2.914940595626831,7.7201032638549805,-3.19865345954895
1622693226134,-2.321178436279297,11.159374237060547,-0.8571242094039917
1622693226200,-2.4468741416931152,8.763975143432617,-1.2964602708816528
1622693226267,-1.6927006244659424,7.134721279144287,-0.7924807667732239
1622693226334,-2.140416383743286,6.390124320983887,-2.3020248413085938
1622693226401,0.14006079733371735,8.105569839477539,-4.017470359802246
1622693226467,-0.021547814831137657,10.789469718933105,-4.774038314819336
1622693226534,-2.831143617630005,10.091560363769531,-5.359420299530029
1622693226604,-0.4489128291606903,,
1622693226605,,8.031349182128906,-6.0872578620910645
1622693226668,-3.8798038959503174,16.640899658203125,
1622693226669,,,-3.994725465774536
1622693226738,-2.3104045391082764,6.196194171905518,
1622693226739,,,0.020350715145468712
1622693226804,-1.047463297843933,11.925518989562988,-0.8188169598579407
1622693226869,-0.45848962664604187,7.972691535949707,
1622693226870,,,1.3419500589370728
1622693226934,0.17238251864910126,,
1622693226935,,10.212467193603516,-0.8583213090896606
1622693229087,-0.05985504388809204,9.536105155944824,-0.18914192914962769
1622693229134,-0.9864110946655273,9.515754699707031,0.6967126727104187
1622693229200,0.40701428055763245,,
1622693229201,,10.74996566772461,1.8483237028121948
1622693229267,-0.15083470940589905,10.60272216796875,-1.0761936902999878
1622693229336,-0.6967126727104187,13.797784805297852,1.2437877655029297
1622693229403,-3.398569345474243,10.605116844177246,0.061052143573760986
1622693229468,-1.7717092037200928,10.899602890014648,
1622693229469,,,-2.1499931812286377
1622693229535,-2.8395233154296875,8.504204750061035,-1.3048399686813354
1622693229603,-1.1959037780761719,7.103596210479736,-1.2988544702529907
1622693229673,-1.8267759084701538,5.986701488494873,
1622693229674,,,-2.676717519760132
1622693229739,-0.005985504016280174,,
1622693229740,,8.845377922058105,-4.291606426239014
1622693229802,-0.9157821536064148,10.992977142333984,-3.5745432376861572
1622693229871,-2.5677812099456787,,
1622693229872,,9.682151794433594,-5.647922039031982
1622693229934,-0.8954314589500427,7.532158374786377,-5.415684223175049
1622693230216,-6.1530985832214355,10.846930503845215,-3.512293815612793
1622693230261,-0.8020575642585754,10.556035041809082,1.5406688451766968
1622693230327,-0.5351040959358215,11.215638160705566,-2.342726469039917
1622693230393,0.871489405632019,,
1622693230394,,14.05994987487793,2.074575662612915
1622693230464,-4.285621166229248,9.502586364746094,
1622693230465,,,1.314416766166687
1622693230528,-2.276885747909546,,
1622693230529,,10.721235275268555,-1.5921441316604614
1622693230594,-2.094926595687866,9.091980934143066,-1.0211269855499268
1622693230664,-2.6431987285614014,,
1622693230665,,7.509413719177246,-1.3994108438491821
1622693230732,-1.8195933103561401,,
1622693230733,,5.941211700439453,-1.2737152576446533
1622693230795,-1.2665326595306396,,
1622693230796,,7.490260124206543,-4.200626850128174
1622693230866,-0.365115761756897,10.098742485046387,-4.197035789489746
1622693230932,-2.0817582607269287,,
1622693230933,,11.184513092041016,-5.7305216789245605
1622693231000,-2.7066450119018555,9.317035675048828,-5.388150691986084
1622693231063,-3.1483752727508545,10.196905136108398,-4.486733913421631
1622693238088,-1.2737152576446533,,
1622693238089,-5.093664169311523,7.803900241851807,0.729034423828125
1622693238134,-1.8171991109848022,10.158597946166992,-1.3287819623947144
1622693238200,-2.7952303886413574,7.327454090118408,
1622693238201,,,-0.6488286852836609
1622693238268,-1.5059528350830078,5.483919143676758,-1.2198457717895508
1622693238336,-1.3335703611373901,6.01423454284668,-3.4093432426452637
1622693238401,-0.5410895943641663,10.700884819030762,-4.981136798858643
1622693238467,-1.677138328552246,13.491326332092285,-5.427655220031738
1622693238534,-1.5610195398330688,5.368997097015381,-4.620809078216553
1622693238600,-6.568492412567139,,
1622693238601,,17.660829544067383,-3.5661635398864746
1622693238667,-1.8602946996688843,4.78122091293335,0.011971008032560349
1622693238734,0.18794482946395874,12.682085990905762,-0.5674257874488831
1622693238801,-0.8846575021743774,6.605602264404297,1.5717934370040894
1622693238868,0.24660277366638184,9.47146224975586,-0.24779987335205078
1622693238934,-0.09457096457481384,9.016563415527344,0.009576806798577309
1622693239000,-1.0115501880645752,,
1622693239001,,10.32978343963623,0.7098808288574219
1622693239067,0.5805938839912415,,
1622693239068,,11.511322021484375,1.0869675874710083
1622693239134,0.8056488633155823,10.036493301391602,-0.4884171485900879
1622693239201,-1.678335428237915,12.02727222442627,1.9369091987609863
1622693239268,-2.9987375736236572,,
1622693239269,,11.947066307067871,-2.1966800689697266
1622693239334,-3.2130186557769775,,
1622693239335,,8.710105895996094,-0.39145198464393616
1622693239405,-1.8495208024978638,,
1622693239406,,6.560112476348877,-0.6584054827690125
1622693239469,-1.2437877655029297,5.006275653839111,
1622693239470,,,-0.45489832758903503
1622693239536,-1.4867992401123047,7.583633899688721,
1622693239537,,,-5.398924827575684
1622693239606,-0.36750996112823486,12.496535301208496,-4.807557106018066
1622693239672,-1.3730746507644653,,
1622693239673,,7.729680061340332,-7.758410453796387
1622693239738,-2.851494312286377,,
